cntry,1995_car,1996_car,1997_car,1998_car,1999_car,2000_car,2001_car,2002_car,2003_car,2004_car,2005_car,2006_car,2007_car,2008_car,Average_car,Minimum_car,Maximum_car,2005_alc,2008_alc,Average_alc,Minimum_alc,Maximum_alc,1995_fert,1996_fert,1997_fert,1998_fert,1999_fert,2000_fert,2001_fert,2002_fert,2003_fert,2004_fert,2005_fert,2006_fert,2007_fert,2008_fert,Average_fert,Minimum_fert,Maximum_fert,2002_tbc,2005_tbc,Average_tbc,Minimum_tbc,Maximum_tbc,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,Average_gdp,Minimum_gdp,Maximum_gdp
Cambodia,,,,,,,,,,,,,1.9720799999999998,,1.9720799999999998,1.9720799999999998,1.9720799999999998,4.77,4.71,4.74,4.71,4.77,4.62,4.423,4.236000000000001,4.059,3.8960000000000004,3.75,3.6189999999999998,3.5039999999999996,3.4010000000000002,3.31,3.23,3.162,3.102,3.051,3.6687857142857143,3.051,4.62,23.6,23.6,23.6,23.6,23.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
Cameroon,,,,,,,20.4641525,,,,,,,,20.4641525,20.4641525,20.4641525,7.57,7.9,7.735,7.57,7.9,5.989,5.903,5.8229999999999995,5.749,5.682,5.621,5.567,5.515,5.4639999999999995,5.412999999999999,5.358,5.2989999999999995,5.235,5.167000000000001,5.556071428571428,5.167000000000001,5.989,7.4,7.4,7.4,7.4,7.4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
Canada,,,8.583,7.667000000000001,8.072000000000001,6.4,5.989,6.308,5.859,5.607,,6.3329,,,6.757544444444445,5.607,8.583,9.77,10.2,9.985,9.77,10.2,1.67,1.631,1.567,1.556,1.544,1.507,1.536,1.5130000000000001,1.5419999999999998,1.548,1.5659999999999998,1.6130000000000002,1.6569999999999998,1.6808,1.5807714285714287,1.507,1.6808,21.6,21.6,21.6,21.6,21.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Chile,,,2.491,1.8159999999999998,0.7709999999999999,1.421,1.771,0.88,1.2209999999999999,1.472,1.329,3.3291,,,1.6501100000000002,0.7709999999999999,3.3291,8.55,8.81,8.68,8.55,8.81,2.388,2.3209999999999997,2.254,2.1919999999999997,2.135,2.0869999999999997,2.0469999999999997,2.0140000000000002,1.985,1.96,1.939,1.92,1.903,1.8880000000000001,2.073785714285714,1.8880000000000001,2.388,37.9,37.9,37.9,37.9,37.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
China,,,,,,,,,,,,,3.5902199999999995,,3.5902199999999995,3.5902199999999995,3.5902199999999995,5.91,5.56,5.734999999999999,5.56,5.91,1.746,1.656,1.591,1.546,1.52,1.51,1.514,1.527,1.546,1.5659999999999998,1.585,1.6019999999999999,1.617,1.63,1.5825714285714285,1.51,1.746,31.8,31.8,31.8,31.8,31.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
Comoros,,,,,,,,,,,,,28.95,,28.95,28.95,28.95,0.36,0.28,0.32,0.28,0.36,5.246,5.252999999999999,5.27,5.289,5.306,5.315,5.313,5.303,5.2829999999999995,5.254,5.216,5.167999999999999,5.112,5.051,5.241357142857143,5.051,5.315,20.7,20.7,20.7,20.7,20.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Costa Rica,,,5.185,6.495,5.973,5.372999999999999,1.975,4.746,4.69,3.4789999999999996,1.146,0.589,6.3195,,4.179136363636363,0.589,6.495,5.55,5.81,5.68,5.55,5.81,2.758,2.6860000000000004,2.616,2.548,2.481,2.414,2.345,2.275,2.204,2.134,2.0669999999999997,2.006,1.953,1.909,2.314,1.909,2.758,16.8,16.8,16.8,16.8,16.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Croatia,9.582,7.656000000000001,8.365,7.947,7.582000000000001,8.698,7.591,6.736000000000001,8.884,8.075,7.474,6.952000000000001,7.15,6.434,7.794714285714286,6.434,9.582,15.11,15.0,15.055,15.0,15.11,1.517,1.514,1.508,1.494,1.472,1.444,1.415,1.391,1.3769999999999998,1.3730000000000002,1.38,1.395,1.413,1.432,1.4374999999999998,1.3730000000000002,1.517,34.0,34.0,34.0,34.0,34.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Cuba,,,,,,5.063,4.205,3.64,3.468,3.057,3.2460000000000004,2.8489999999999998,2.63,,3.51975,2.63,5.063,5.51,5.12,5.3149999999999995,5.12,5.51,1.614,1.609,1.61,1.615,1.621,1.626,1.626,1.621,1.61,1.5919999999999999,1.57,1.545,1.52,1.4980000000000002,1.5912142857142857,1.4980000000000002,1.626,35.9,35.9,35.9,35.9,35.9,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
Denmark,5.914,5.65,5.056,5.34,5.67,5.287999999999999,5.438,5.6,5.409,4.162,3.8760000000000003,3.4810000000000003,,,5.073666666666667,3.4810000000000003,5.914,13.37,12.02,12.695,12.02,13.37,1.807,1.7469999999999999,1.7519999999999998,1.724,1.735,1.771,1.7469999999999999,1.723,1.758,1.784,1.8019999999999998,1.85,1.8464,1.8923,1.781335714285714,1.723,1.8923,33.4,33.4,33.4,33.4,33.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
